id;start_date;end_date;language
1;2019-05-23T22:33:11;2019-05-23T04:34:01;FRENCH
2;2019-05-23T23:04:04;2019-05-23T14:58:49;FRENCH
3;2019-05-23T10:18:24;2019-05-24T00:32:49;FRENCH
4;2019-05-23T17:19:42;2019-05-23T17:11:51;FRENCH
5;2019-05-23T07:40:10;2019-05-23T17:27:12;FRENCH
6;2019-05-23T21:58:40;2019-05-23T14:33:05;FRENCH
7;2019-05-23T11:53:17;2019-05-23T05:18:08;FRENCH
8;2019-05-23T15:19:56;2019-05-23T10:01:24;FRENCH
9;2019-05-23T17:39:45;2019-05-24T02:35:15;FRENCH
10;2019-05-23T23:55:31;2019-05-23T09:32:41;FRENCH
